B02512,B02598,B02617,B02682,B02764
595,4018,2036,5051,210
349,2636,1379,3269,136
226,1697,868,2062,82
231,1668,937,2129,75
296,1977,1124,2614,84
485,2972,1756,4141,122
1148,5725,3711,7681,233
1511,7647,5098,10283,385
1295,7146,4664,9405,333
1171,5550,3635,7316,267
1295,5487,3709,7089,285
1381,5887,3771,7409,326
1410,6142,3956,7569,348
1624,7342,4427,8798,412
1836,9061,5174,10606,513
2422,11469,6756,13970,707
2810,13717,8072,16594,810
2966,14751,8701,18200,857
2688,14242,7943,17369,761
2419,12861,7143,15841,659
2288,12028,6725,14556,647
2221,12217,6896,14930,700
1755,10178,5748,12388,576
1114,6845,3772,8538,380
